RecordID,Age,Gender,City
BCW750,25,Female,Tampere (Finland)
AXN611,34,Male,Berlin
BQR1109,33,Male,Munich
AQI424,42,Male,Den Haag
BUZ1221,44,Male,Munich
AUQ536,26,Male,Berlin
BES798,39,Female,Munich
BUY1220,35,Male,Munich
BTY1194,33,Male,Stuttgart
BAX699,33,Male,Düsseldorf 
AIO222,33,Male,Boeblingen
AXY622,35,Male,Frankfurt
ARI450,48,Male,Berlin
BDT773,32,Male,Berlin
BDG760,29,Female,Berlin
AUF525,37,Male,Berlin
BNN1027,28,Male,Berlin
ATB495,33,Male,Lübeck
BDL765,33,Male,Berlin
BGY856,37,Male,Munich
BEA780,30,Male,Berlin
AXW620,40,Male,Karlsruhe
BIX907,33,Male,Berlin
AOK374,,Male,Karlsruhe 
AZR667,34,Male,Munich
ART461,33,Female,Berlin
BHQ874,31,Male,Munich
BRY1142,43,Male,Munich
AMK322,38,Male,Stuttgart
AOQ380,34,Male,Berlin
AXP613,37,Male,Berlin
BGR849,42,Male,Berlin
ASB469,27,Male,Frankfurt
AZG656,33,Female,Berlin
ARA442,25,Male,Berlin
AZE654,29,Male,Berlin
BDX777,29,Male,Helsinki
BCY752,33,Male,Heidelberg
ATP509,36,Female,Berlin
BCJ737,25,Male,Berlin
BSD1147,34,Female,Berlin
AJP249,28,Male,Munich
BLK972,32,Male,Hamburg
AUJ529,,Male,Berlin
BIQ900,38,Male,Berlin
AAR17,41,Male,Berlin
BNY1038,29,Male,Berlin
AVI554,31,Male,Hamburg
AZC652,34,Female,Berlin
BBO716,26,Male,London
BRK1128,36,Male,Berlin
BHB859,27,Male,Berlin
BFC808,31,Male,Munich
BEE784,35,Male,Düsseldorf
AZF655,30,Male,Stockholm
BGZ857,31,Male,Amsterdam
BAC678,21,Female,Cologne
BVJ1231,,,Munich
BOQ1056,30,Male,Berlin
AJH241,31,Male,Munich
BSK1154,36,Male,Berlin
BOC1042,31,Male,Munich
AEK114,29,Male,Berlin
AHH189,31,Male,Mannheim 
AXD601,29,Female,Berlin
AFJ139,30,Male,Berlin
AUV541,28,Male,Berlin
BAE680,25,Female,Hamburg
AUS538,29,Male,Berlin
AJM246,34,Male,Berlin
